序号,标题,链接,创建时间,状态,标签
1,[Bug]: `left outer join` some `view` may produce unexpected result.,https://github.com/oceanbase/oceanbase/issues/1997,2024-06-01T06:42:57Z,OPEN,"['type: bug', 'module: sql', 'status: confirmed']"
2,[Bug]: View 'SCHEMATA' always shows default data instead of actual data.,https://github.com/oceanbase/oceanbase/issues/1341,2023-04-07T07:46:31Z,CLOSED,"['type: bug', 'module: sql', 'status: confirmed']"
